RID,CID,CAT,GRID_ID
114,1,frequent,F-3
114,1,frequent,F-2
114,2,frequent,F-3
114,3,frequent,F-3
114,4,frequent,F-3
114,4,frequent,G-3
114,5,frequent,F-3
114,5,frequent,G-3
114,6,frequent,G-3
114,7,frequent,G-3
114,8,frequent,F-4
114,8,frequent,G-4
114,8,frequent,F-3
114,9,frequent,F-4
114,9,frequent,G-4
114,9,frequent,G-3
114,10,frequent,F-6
114,10,frequent,G-6
114,10,frequent,F-5
114,10,frequent,G-5
114,11,regular,C-3
114,11,regular,D-3
114,11,regular,C-2
114,11,regular,D-2
114,12,regular,E-2
114,12,regular,F-2
114,13,regular,E-3
114,14,regular,F-3
114,15,regular,F-3
114,16,regular,F-3
114,16,regular,G-3
114,17,regular,G-3
114,18,regular,F-4
114,18,regular,G-4
114,18,regular,F-3
114,18,regular,G-3
114,19,regular,F-6
114,19,regular,G-6
114,19,regular,F-5
114,19,regular,G-5
114,20,frequent,F-6
114,20,frequent,F-5
114,20,frequent,F-4
